Date,Open,High,Low,Close,AdjClose,Volume,MMO,MMH,MML,MMC,MMV,PPR,PPC,PPO,Fut
02/01/2019,150.990005,155.75,150.880005,154.880005,151.261337,58576700,154.417999,156.9959994,153.0840026,155.7080016,61910840,0.0314,0.8214,0.0226,-0.0327
03/01/2019,152.600006,153.259995,149.490005,149.820007,146.31955,74820200,156.2479978,158.1500002,154.8020018,156.896002,59493840,0.0252,0.0875,0.8249,0.0428
04/01/2019,152.339996,157,151.740005,156.229996,152.579758,74709300,157.6479978,159.7720002,156.6440002,159.1880004,52318480,0.0337,0.8536,0.1141,0.0119
07/01/2019,156.619995,158.860001,156.110001,158.089996,154.396301,52059300,159.245999,160.5440004,158.2539978,160.0800016,43411940,0.0174,0.7200,0.1855,0.0090
08/01/2019,159.539993,160.110001,157.199997,159.520004,155.792923,49388700,159.7880004,160.7640016,158.7499968,160.3160032,39142120,0.0182,0.7973,0.8041,0.0081
09/01/2019,160.139999,161.520004,159.470001,160.820007,157.062561,46491700,159.8800018,161.2620026,159.2919982,160.8880034,37439220,0.0127,0.6585,0.3268,0.0029
10/01/2019,159.600006,161.369995,158.699997,161.279999,157.51181,38943400,160.3820008,161.7140016,159.8559966,161.1940032,34903320,0.0166,0.9663,0.3371,-0.0037
11/01/2019,160.330002,160.860001,159.789993,160.690002,156.935562,30176600,160.828,162.3120028,160.4299986,161.6640044,34980440,0.0067,0.8411,0.5047,-0.0088
14/01/2019,159.330002,159.960007,158.589996,159.270004,155.548752,30710200,161.7179994,163.3440034,161.2360014,162.576004,40381760,0.0086,0.4964,0.5401,0.0195
15/01/2019,160,162.600006,159.910004,162.380005,158.586075,40874200,162.6639986,164.1800018,161.6700012,163.1100036,45582060,0.0166,0.9182,0.0335,-0.0002
16/01/2019,162.649994,163.779999,162.289993,162.350006,158.556793,33812200,163.2179994,164.3619996,161.7520018,163.0640014,45028440,0.0092,0.0403,0.2416,0.0079
17/01/2019,161.830002,164.360001,161.570007,163.630005,159.806885,39329000,163.2239992,164.2940002,161.7060028,163.2339996,44749560,0.0171,0.7384,0.0932,0.0099
18/01/2019,164.779999,166.020004,163.820007,165.25,161.389023,57183200,163.7599978,164.5519988,162.1820008,163.5379974,44186940,0.0133,0.6500,0.4364,-0.0200
22/01/2019,164.059998,164.139999,160.759995,161.940002,158.156357,56711700,163.4079988,163.971997,161.7679994,163.1099976,39448540,0.0209,0.3491,0.9763,0.0013
23/01/2019,162.770004,163.509995,160.320007,162.149994,158.361435,38106100,163.2359986,163.7919982,161.8140014,163.0359986,34263040,0.0197,0.5737,0.7680,0.0065
24/01/2019,162.679993,163.440002,162.059998,163.199997,159.386948,32417800,163.3619966,164.345999,162.3279998,163.7419984,34911120,0.0085,0.8261,0.4493,0.0119
25/01/2019,164.509995,165.649994,163.949997,165.149994,161.291351,36515900,164.1659974,165.4559996,163.2100004,164.7339998,35879240,0.0103,0.7059,0.3294,-0.0124
28/01/2019,163.020004,163.119995,161.75,163.110001,159.299026,33491200,164.7299988,166.046002,163.818002,165.1940004,35004800,0.0084,0.9927,0.9270,-0.0094
29/01/2019,163.199997,163.240005,160.990005,161.570007,157.795013,30784200,165.6219972,167.3280028,164.9340024,166.478,33650320,0.0139,0.2578,0.9822,0.0254
30/01/2019,163.399994,166.279999,162.889999,165.679993,161.808975,41346500,166.9339968,168.926001,166.6740018,168.3699984,33124760,0.0205,0.8230,0.1504,0.0150
31/01/2019,166.699997,168.990005,166.470001,168.160004,164.231033,37258400,168.4679994,169.9440002,168.046002,169.3380006,30449460,0.0150,0.6706,0.0913,-0.0042
01/02/2019,167.330002,168.600006,166.990005,167.449997,163.537643,32143700,168.9339998,170.0359986,168.1420012,169.351999,31405020,0.0096,0.2857,0.2112,0.0124
04/02/2019,167.479996,169.529999,167.330002,169.529999,165.569031,26718800,168.8199984,170.0339966,168.0580016,169.5739992,30780420,0.0130,1.0000,0.0682,0.0088
05/02/2019,169.759995,171.229996,169.690002,171.029999,167.033981,28156400,169.1579988,170.0439972,168.1880004,169.3479982,29723480,0.0090,0.8701,0.0455,-0.0030
06/02/2019,171.070007,171.369995,169.75,170.520004,166.535904,27970000,169.1320008,170.0259978,168.1160004,169.3199982,30036620,0.0095,0.4753,0.8148,-0.0134
07/02/2019,169.029999,169.449997,166.949997,168.229996,164.299377,42036200,169.2479982,170.1839996,168.3300018,169.4179964,29661440,0.0149,0.5120,0.8320,0.0020
08/02/2019,166.759995,168.589996,166.570007,168.559998,164.621674,29020700,169.5219972,170.6600006,168.9060028,170.0159974,27319560,0.0120,0.9851,0.0941,-0.0009
11/02/2019,169.169998,169.580002,167.979996,168.399994,164.465408,21434100,170.673999,171.454001,169.8200012,170.6919982,28019760,0.0095,0.2625,0.7437,0.0148
12/02/2019,169.630005,171.139999,169.330002,170.889999,166.897247,29722100,171.1220002,172.0980012,170.500003,171.4679992,27630480,0.0106,0.8619,0.1657,0.0007
13/02/2019,171.649994,172.160004,170.820007,171.009995,167.014435,26094100,171.675998,172.4860018,170.898004,171.7399994,28204660,0.0078,0.1418,0.6194,0.0012
14/02/2019,170.399994,171.830002,169.830002,171.220001,167.219543,30326800,171.7039978,172.506,170.876004,171.8619994,28027320,0.0117,0.6950,0.2850,0.0042
15/02/2019,172.520004,172.559998,171.139999,171.940002,167.922714,32521700,172.022,172.7419986,171.2900024,172.195999,27509040,0.0083,0.5634,0.9718,0.0020
19/02/2019,171.410004,172.800003,171.380005,172.279999,168.254776,19487700,172.3600006,173.1619998,171.7420014,172.5119994,27526460,0.0082,0.6338,0.0211,-0.0002
20/02/2019,172.399994,173.080002,171.320007,172.25,168.225479,32593000,172.698001,173.4519992,172.028,172.795999,28016860,0.0102,0.5284,0.6136,-0.0037
21/02/2019,171.789993,172.259995,170.710007,171.619995,167.610184,25207400,172.798001,173.5959994,172.1159976,173.0639982,26530660,0.0090,0.5871,0.6968,0.0074
22/02/2019,171.990005,173.009995,171.899994,172.889999,168.850555,27735400,173.050003,173.906,172.5139956,173.3779996,26506280,0.0064,0.8919,0.0811,0.0036
25/02/2019,174.210007,174.660004,173.399994,173.520004,169.46582,32608800,173.5400024,174.2339998,172.7699954,173.6779996,27245440,0.0073,0.0952,0.6429,0.0010
26/02/2019,173.100006,174.25,172.809998,173.699997,169.641586,21939700,173.8059996,174.4599976,172.5839968,173.8579984,28336380,0.0083,0.6181,0.2014,-0.0006
27/02/2019,172.899994,173.800003,171.759995,173.589996,169.534164,25162000,174.095999,174.6279968,172.7599976,174.0279996,28412420,0.0118,0.8971,0.5588,-0.0023
28/02/2019,173.050003,173.809998,172.699997,173.190002,169.143524,25085500,174.4600004,174.8179962,173.0639984,174.022,28818940,0.0064,0.4414,0.3153,0.0069
01/03/2019,174.440002,174.649994,173.179993,174.389999,170.315475,31431200,174.4739988,174.6919952,172.6819976,173.6699982,31683320,0.0084,0.8231,0.8571,0.0002
04/03/2019,175.539993,175.789993,172.470001,174.419998,170.344742,38063500,173.4879974,174.0139954,171.9139982,173.025998,33257720,0.0190,0.5873,0.9247,0.0007
05/03/2019,174.550003,175.089996,173.690002,174.550003,170.471756,22319900,172.7559998,173.825998,171.7899992,173.0879976,31748700,0.0080,0.6143,0.6143,-0.0057
06/03/2019,174.720001,174.75,173.279999,173.559998,169.504898,27194600,172.8839996,174.0359986,172.0059996,173.3159974,34075420,0.0085,0.1905,0.9796,-0.0123
07/03/2019,173.119995,173.179993,170.789993,171.429993,167.424637,39407400,173.2600006,174.6719972,172.620001,174.0059968,37121720,0.0139,0.2678,0.9749,-0.0015
08/03/2019,169.509995,171.259995,169.339996,171.169998,167.1707,39303200,174.0620026,175.5039978,173.7940032,175.0619996,33990540,0.0112,0.9531,0.0885,0.0208
11/03/2019,171.880005,174.850006,171.850006,174.729996,170.647537,30518400,175.6400024,177.0279998,175.3820038,176.4980012,33768300,0.0172,0.9600,0.0100,0.0055
12/03/2019,175.190002,176.139999,174.770004,175.690002,171.585083,33953500,176.8540008,177.8559996,176.5300018,177.2420014,34251640,0.0078,0.6715,0.3066,0.0075
13/03/2019,176.600006,177.929993,176.350006,177.009995,172.874252,42426100,177.651999,178.6279998,177.2339996,177.9140016,34839600,0.0089,0.4177,0.1582,-0.0017
